Year,Aircraft Ownership,Airport Rents and Fees,Cargo RTMs (mil),Departures (000),Fuel Expense,Labor Expense,Load Factor,Net Profit,Operating Profit,Other Expense,Other Expense*,Passenger Enplanements (000) - Scheduled,Pre-Tax Profit,Scheduled ASMs (000),Scheduled RPMs (000),Total Operating Expense,Total Operating Revenue,Transport-Related
1977,1309.986787,1092.278615,6919.776964,5044.977,3618.257801,7481.103285,0.559137130,668.714122,874.218349000,4602.623341,7449.610387,240328.962,887.994015,345566117,193218847,18548.971473,19423.189822,444.721644
1978,1300.781563,1107.01974,7325.09929,5112.29,4040.031519,8569.217569,0.614998616,1176.463538,1320.030504,5282.531225,8315.245363,274715.341,1353.999008,368750719,226781182,20924.494451,22244.524955,624.912835
1979,1399.176618,1250.702487,7837.126659,5531.525,6267.339501,9974.888406,0.629701696,324.859741,208.715808000,6685.814275,9960.302291,316681.33,148.149073,416037703,261979647,26202.530198,26411.246006,624.608911
1980,1585.431658,1437.239754,7803.674607,5479.352,9443.360496,11301.496432,0.589991684,50.957491,-189.312623000,7690.392417,11394.95048,296900.647,-156.621762,432535103,255192114,32139.807408,31950.494785,681.886651
1981,1706.651661,1629.093483,7823.304835,5329.141,10180.045018,12124.37428,0.585759999,-257.486974,-448.481629000,8536.614372,12534.217461,285977.695,-699.919566,424897230,248887801,34838.636759,34390.15513,661.857945
1982,1904.429109,1769.128355,7720.229168,5094.208,9643.357811,12348.171332,0.589939876,-905.574912,-746.720832000,9224.571145,13574.721038,294102.788,-1004.554975,440119206,259643870,35566.250181,34819.529349,676.592429
1983,2116.988966,1912.57408,8405.021181,5167.067,8958.86889,13112.687619,0.606686990,-152.091957,288.609632,9989.500088,14764.118688,318639.932,-83.335978,464537979,281829148,36835.675197,37124.284829,745.055554
1984,2413.753214,2167.638059,9229.867401,5599.577,9321.649209,13544.919773,0.592086234,645.346903,1953.939526,11780.534317,17177.916286,344679.519,1278.161608,515323339,305115855,40044.485268,41998.424794,815.990696
1985,2786.120746,2244.096904,9005.241333,6005.12,9282.569334,14350.718966,0.614111218,845.834964,1299.090685,13683.244251,19604.819208,382023.411,986.420398,547788432,336403021,43238.107508,44537.198193,891.357307
1986,3123.037292,2677.265942,10954.441533,6607.885,6950.901865,15127.102006,0.603431386,-121.87554,890.709951000,15206.093407,21898.360872,418948.431,121.742934,607435847,366545855,43976.364743,44867.074694,891.964231
1987,3536.982041,3147.6397,13102.285151,6822.536,7530.287216,16398.421097,0.623501126,163.13591,1841.993085000,17407.893454,25186.630544,447655.311,691.63038,648675504,404449907,49115.338857,50957.331942,1094.115349
1988,4130.832209,3533.73715,14605.138144,6961.53,7479.135396,17845.370051,0.625443415,1314.379111,2800.328798,19659.637791,28532.446943,454613.016,2567.658043,676802328,423301559,53856.95239,56657.281188,1208.239793
1989,4639.063966,3954.440381,16314.312515,6919.871,8500.782942,19437.189147,0.632275807,-84.921217,1239.244070000,21523.259468,31399.868532,453692.561,792.613627,684375876,432714309,59337.840621,60577.084691,1283.104717
1990,5407.866273,4321.942215,16407.132268,7176.226,11639.124509,21543.073296,0.624409549,-4114.179344,-2455.138111000,23960.552982,35090.100486,465557.509,-4345.2644,733374893,457926286,68272.298291,65817.16018,1399.739016
1991,5714.750355,4584.213114,16149.704936,7041.047,9557.679161,21751.390348,0.626335805,-2055.68788,-2292.911955,24157.431758,35671.561718,452303.272,-2509.264231,715199140,447954829,66980.631227,64687.719272,1215.166491
1992,6255.759329,5150.686782,17310.544142,7320.882,9123.934086,23085.721908,0.635721615,-4681.188996,-2796.936063,25364.77206,37895.189652,475105.184,-3836.146926,752772435,478553708,70104.845646,67307.909583,1123.971481
1993,6585.6916,5562.007846,19082.939811,7547.621,8781.395224,23929.724106,0.634601640,162.95423,944.237871000,25805.099924,39146.126924,488520.197,-1789.134441,771640648,489684421,71857.246254,72801.484125,1193.327554
1994,6883.721606,5890.555161,21772.967112,7885.616,8212.893024,24743.566805,0.662197121,-682.024185,1960.798226,25498.853331,39715.018909,528848.581,-679.036923,784330936,519381688,72671.478738,74632.276964,1441.888811
1995,7087.987269,5870.397314,23380.214512,8425.706,8436.206267,25457.297286,0.669893516,2000.776806,5144.985089000,25474.775722,40042.989996,547774.547,3144.181832,807077839,540656211,73936.493549,79081.478638,1609.829691
1996,7686.799645,5713.203049,24892.479579,8618.08,10311.25616,26476.794476,0.692950748,2422.191758,5367.133212,27204.556046,42578.170767,581237.168,4047.651743,835070900,578663005,79366.221403,84733.354615,1973.612027
1997,7543.407241,5906.56445,27647.330261,8534.446,10300.744449,27930.866534,0.703915227,4779.187158,7450.07815,28713.61644,44461.178084,594727.405,7095.147523,857232155,603418767,82692.789067,90142.867217,2297.589953
1998,7836.391168,6039.824777,27866.545308,8729.827,8342.469689,29424.570119,0.707102380,4425.322485,8041.827109000,29863.732173,46140.539881,612882.45,7359.526254,873388765,617575274,83907.579689,91949.406798,2400.591763
1999,8666.676286,6515.972098,28984.161263,9061.642,9020.375801,31393.635991,0.709966944,4686.181139,6947.654313000,30906.637798,48801.54088,635958.867,7954.327008,918418724,652046935,89215.552672,96163.206985,2712.254698
2000,9620.986817,6832.225652,30863.035741,9449.571,14099.131202,34490.106248,0.723921870,2237.762755,5701.869486,31262.968547,51019.661163,666149.095,4776.124013,956950287,692757241,99608.898613,105310.768099,3303.480147
2001,9756.205466,8356.101238,28121.551347,9120.339,13119.558692,36260.795502,0.700367983,-8008.156676,-10365.128327,31074.489713,52996.336564,622129.066,-10655.963301,930511304,651700325,102376.690758,92011.562431,3809.540147
2002,9625.034475,7031.528255,30526.21031,9516.157,10959.218709,35653.329723,0.718144104,-11761.550574,-9543.815276000,26518.713057,47186.10494,614277.284,-14578.379039,894582236.245,642438958.337,93798.653372,84254.838096,4010.829153
2003,9638.787055,7377.318468,33540.747228,11192.147,12852.730222,34147.886885,0.734765594,-2088.281163,-3048.978041000,24178.063167,48998.144288,647469.855,-2025.066309,894602242.184,657322947.738,95998.761395,92949.783354,7803.975598
2004,10152.149541,7764.705075,37954.742191,11766.137,18712.51466,33847.702501,0.755146938,-10046.008244,-3375.334342000,26420.764524,57549.172349,703692.019,-8575.068275,971987060.05,733993052.556,110109.38951,106734.055168,13211.553209
2005,9882.208514,8225.410437,39307.183632,11884.482,27221.360985,31158.899377,0.776423018,-28646.629862,-2004.762198000,28229.15014,62634.507884,738627.981,-27605.420972,1003364379.087,779035199.433,121014.768246,119010.006048,16297.738793
2006,9582.559609,8149.814631,39759.708854,11552.931,31539.197356,30337.947597,0.792402103,16527.301766,5034.936479,28846.355428,64049.223507,744728.092,16570.275352,1006350726.273,797434431.895,125926.36846,130961.304939,17470.493839
2007,9294.450927,8520.192789,39862.615488,11686.092,33876.837304,31045.199652,0.799313999,6306.09975,6674.818275,30867.284057,66624.574016,769622.321,7908.534449,1037691278.222,829441165.565,131546.610972,138221.429247,17942.646243
